company,real_url,roast,voice,speaks_to
Ad Hoc Marketing,https://adhoc-marketing.com,,,
ADscholars,https://adscholars.com,,,
ADA Global,https://adaglobal.com,The sculptor shaping clarity from intricate data,Modern · Mature · Complex,Chief Data Officers Chief Digital Officers Head of Customer Experience
adobo magazine,https://adobomagazine.com,,,
AIRR Labs,https://airrlabs.com,,,
"Aleph Group, Inc",https://alephholding.com,,,
AmplifAI Services,https://amplifaiservices.com,,,
AVOW,https://avow.tech,,,
BBCOMM,https://bbcomm.ph,,,
BidKinetic Pte. Ltd.,https://bidkinetic.com,,,
Bidroid Hub Technologies Pvt Ltd,https://bidroid.io,,,
"Brightbox, Inc.",https://brightbox.com.ph,,,
Channel Factory,https://channelfactory.com,,,
CleverAds Philippines Corp,https://cleverads.com.ph,,,
Co-Op Play,https://entergameon.com,,,
David & Golyat,https://davidandgolyat.com,,,
Dentsu Creative Philippines,https://dentsu.com,The refined artisan shaping bold brand identities,Modern · Complex · Mature,Chief Marketing Officers CMO Brand Directors Chief Digital Officers CDO
Digitank Studios,https://digitankstudios.com,,,
"Eight Media Online Solutions, Inc.",https://eightmedia.ph,,,
EON Group,https://eon.com.ph,,,
Fortify Digital,https://fortifymarketingco.com,,,
Gatchi Digital,https://gatchidigital.com,,,
Gruppo Integritas,https://gruppointegritas.com,,,
HAVAS Ortega,https://havasmediaortega.com,,,
Hit Productions Inc.,https://hitproductions.net,,,
IdeasXMachina Hakuhodo,https://ideasxmachina.com,,,
Kopā,https://kopamedia.io,,,
LOKAL,https://lkl.ai,,,
Origine Consulting Group,https://originecg.com,,,
Passion Fruit Marketing and Collaborations,https://passionfruitph.com,,,
Prometheus,https://prometheus.ph,,,
RUSH Technologies,https://rush.ph,,,
Spark It,https://sparkit.global,,,
Strategys Online Media Inc.,https://strategys.com.ph,,,
