company,website,segment,notes,source
Claro Content,https://clarocontent.com/,agency,Social media content shop,agencies
Motion Cabin,https://motioncabin.com/,agency,Full-service creative video/graphics/social,agencies
Sigil Digital,https://sigilbrand.com/,agency,Social + video + brand bibles,agencies
Serious Studio,https://serious-studio.com/,agency,Branding/design agency,agencies
And A Half,https://and-a-half.ph/,agency,Branding & design studio,agencies
Design For Tomorrow,https://designfortomorrow.co/,agency,Brand strategy/identity/editorial,agencies
Dual Story,https://dualstory.com/,agency,Cebu branding agency w/ content function,agencies
Boombox Social,https://boombox.social/,agency,Integrated marketing + video studio,agencies
Kapwa Marketing,https://kapwamarketing.com/,agency,Content marketing agency,agencies
Lime Digital Asia,https://www.limedigital.asia/,agency,Social + influencer + vertical video,agencies
PINO Studio,https://www.pino.ph/,agency,Branding/content/production/web,agencies
The Studio Bridge,https://thestudiobridge.com/,agency,Creative studio + post-production,agencies
Gobo Creatives,https://gobo.ph/,agency,Social content/campaigns/branding,agencies
Itch Creatives,https://itchcreatives.com/,agency,Advertising small shop,agencies
Oddefy Creative,https://oddefy.agency/,agency,360 integrated agency,agencies
Huddle Room,https://huddleroom.com.ph/,agency,Growth agency creative+social,agencies
Nuworks Interactive Labs,https://nuworks.ph/,agency,Independent digital/innovations agency,agencies
Strong Media Corp,https://www.strongmediacorp.com/,agency,Full-service video/design,agencies
NJYN Inc.,https://njyn.ph/,agency,Hakuhodo-group creative solutions,agencies
Spiralytics,https://spiralytics.com/,agency,Digital marketing agency,agencies
Creative Bananas,https://creativebananas.ph/,agency,White-label social/design/video,agencies
Get Hooked 360,https://gethooked360.com/,agency,Full-service digital,agencies
LeapOut Digital,https://www.leapoutdigital.com/,agency,Performance + commerce agency,agencies
Propel Manila,https://propelmanila.com/,agency,Creative agency copy/art/social,agencies
Ground Up,https://wearegup.com/,agency,Advertising + digital brand-building,agencies
PerkComm,https://perkcomm.com/,agency,Full-scale agency,agencies
Treyna Group,https://treynagroup.com/,agency,Omnicom-affiliate agency,agencies
Sunnies Face,https://ph.sunniesface.com/en-us,content-team,"Homegrown DTC makeup+skincare, high content volume",beauty-cpg
Happy Skin,https://happyskincosmetics.com,content-team,"In-house team, seasonal launches",beauty-cpg
BLK Cosmetics,https://blkcosmetics.com.ph,content-team,"Celebrity-founded, heavy social",beauty-cpg
Colourette Cosmetics,https://colourette.ph,content-team,"DTC makeup, inclusivity messaging",beauty-cpg
GRWM Cosmetics,https://grwmcosmetics.com,content-team,Fast-growing skincare/haircare/body,beauty-cpg
Issy Cosmetics,https://issycosmetics.com,content-team,"Founder-led, 6 lines",beauty-cpg
Snoe Beauty,https://snoebeauty.com,content-team,Multi-category with proprietary line,beauty-cpg
Ever Bilena,https://everbilena.com.ph,content-team,"#1 local cosmetics, 8 sub-brands (governance)",beauty-cpg
Vice Cosmetics,https://www.vicecosmetics.com.ph/,content-team,"Celebrity mega-brand, large catalog",beauty-cpg
SkinPotions,https://skinpotions.ph,content-team,Content-led marketing DNA,beauty-cpg
Human Nature,https://humanheartnature.com,content-team,Biggest natural personal-care brand,beauty-cpg
Pili Ani,https://piliani.com,content-team,"Premium pili-oil skincare, exports",beauty-cpg
Belo Essentials,https://beloessentials.com,content-team,"Dermatologist mass brand, large marketing org",beauty-cpg
VMV Hypoallergenics,https://vmvhypoallergenics.com,content-team,"Hypoallergenic house, claims governance",beauty-cpg
Beach Born,https://beachborn.ph,content-team,"Eco DTC haircare/body, sustainability story",beauty-cpg
Zenutrients,https://www.zenutrients.com.ph,content-team,"Natural personal-care, multi-line",beauty-cpg
Messy Bessy,https://messybessy.com,content-team,"Social enterprise, multi-SKU natural care",beauty-cpg
Novuhair,https://www.novuhair.com,content-team,"FDA-registered anti-hairfall, claims-heavy",beauty-cpg
Gluta-C,http://gluta-c.com/,content-team,"Skin-brightening, influencer-driven",beauty-cpg
Cosmetique Asia (Silka),https://cosmetiqueasia.com/brands/silka/,content-team,"#1 beauty soap, multiple brands",beauty-cpg
Mama Sita's,https://mamasitas.com,content-team,"Iconic culinary brand, global exports",beauty-cpg
Alaska Milk Corporation,https://alaskamilk.com,content-team,"CPG dairy, active campaigns + community",chambers
Asia Brewery,https://asiabrewery.com,content-team,Multi-SKU beverage D2C,chambers
